"id","username","name","follower_count","following_count","score","is_premium","is_pro"
"757","krissy","Krissy 🐸","3273","918","835","False","False"
"913","Reasonphilic","Reasonphilic","773","31","282","False","False"
"1144","PorkShake","Michael Walters","4360","2081","5490","True","True"
"797","staringintothesun47","Erika ☀","3986","2799","3997","False","False"
"1288","taco","Lucy","773","42","349","False","False"
"1202","99","(((🐸)))","647","48","48","False","False"
"1368","CMARSH","Cameron Marshall","567","56","404","False","False"
"1323","machine","Terabyte! Code! Numbers!","616","37","15","False","False"
"1430","path","Cyber Pathogens","681","181","39","False","False"
"619","Shane","Shane A","1352","27","83","False","False"
"645","ManaByte","Jeremy Conrad","885","4","5","False","False"
"649","David","David","944","15","0","False","False"
"626","Lydian","Lydia","699","46","23","False","False"
"650","minhnhat93","Minh Ignatius","992","3","0","False","False"
"677","Aberrationist","Mason Chase","1641","11","6","False","False"
"683","BehindtheBlueWall","George P Snickerdoodle","870","8","12","False","False"
"1410","Kurt","Kurt Lining","798","130","622","False","False"
"261","atlas","Atlas","313","1","1","False","False"
"733","MolonLabe","Molon Labe","2639","121","624","False","False"
"800","PPB","PPB","3309","58","594","False","False"
"748","Jones","S.E.Jones","1122","60","217","False","False"
"631","drew","Drew","961","20","107","False","False"
"633","sean","Sean","1669","39","0","False","False"
"652","Skunkslayer","Chris","1456","1386","139","False","False"
"668","Mattsobek","Matt Sobek","958","14","25","False","False"
"667","Cevan","Cevan","1269","8","45","False","False"
"830","longtermeffect","Ben Luger","2061","552","1477","False","False"
"1059","TolerantLeft","Tolerant Left","472","5","49","False","False"
"1891","OHUTAK","Rob G","824","179","35","False","False"
"61","Blendahtom","Tom Masiero","1421","135","193","False","True"
"774","kinch","kinch","1451","170","82","False","False"
"742","Glindon","Doyle Maunder","815","7","17","False","False"
"776","Heroiks","Just Deplorable","2933","794","925","False","False"
"810","ML","Mark Lindheimer","4379","1870","2636","False","False"
"814","SteveWR824","Stephen Rachko","488","9","7","False","False"
"721","B_","Brendan ","1831","215","2669","False","False"
"871","TheRookie","The Rookie","942","119","160","False","False"
"866","Danny","DJ","643","9","116","False","False"
"880","CatyRae","Caitlyn Rolland","1486","100","1126","False","False"
"884","AlexandrosPNW","Alexandros","843","76","58","False","False"
"847","BrightonTheGreat","Brighton Evander Whytock","1091","111","901","False","False"
"809","TechnickelTed","Teddy","764","46","80","False","False"
"815","AnthonyBoy","AnthonyBoy","3115","917","3193","False","True"
"825","Amnon","Amnon Nissan","1802","1093","14","False","True"
"728","Prometheus","Prometheus","1214","59","191","False","False"
"893","james","James Watt","1854","269","1559","False","False"
"1307","Ace_Uncensored","Ace 😎","4993","3921","11887","False","False"
"611","Alan","Alan","211","1","0","False","False"
"432","Ethan","Ethan Andrews","990","5","230","False","False"
"2396","porksusanjoe","Pork Susan Joe","144","3","3","False","False"
"2279","greg","Gregory Yourek","2076","1335","1417","False","False"
"3454","fora","fora","1266","534","7","False","False"
"3847","cody","Cody","607","222","29","False","False"
"5626","shell","shell","13934","43785","7","False","False"
"3252","NationalCrusade","NationalCrusade","6633","7105","1562","False","False"
"5345","tsukle","Emilis Tobulevicius","6713","15741","1694","False","False"
"2669","writer","Rob Towner","1134","708","82","False","False"
"3727","up","‮","8628","18803","165","False","False"
"5595","ipadmjb","Mich","1817","2151","79","False","False"
"4381","ns","ns","7581","18707","198","False","False"
"1073","TrumpGod","#DeplorableTrumpGabber","1422","369","202","False","False"
"836","Ty4Trump","Ty Reiser","977","13","4","False","False"
"1662","Neal","Neal","1344","353","287","False","False"
"750","whereskenneth","Ken Where?","1595","109","262","False","False"
"773","fx","soon","1577","78","1661","False","False"
"620","Reid","Reid","857","22","16","False","False"
"1210","red","Giridhar","353","25","0","False","False"
"778","din","din","517","4","31","False","False"
"762","Soccer","Soccer","532","16","95","False","False"
"784","Diablo","Diablo ","1331","39","260","False","False"
"793","Psittacus","Psittacus","1697","1199","24","False","False"
"803","Henrx","Henry Seay","1075","7","8","False","False"
"743","wriv","Wayne Richardson","630","6","0","False","False"
"817","Jay","Jay Sensi","891","60","95","False","False"
"826","lifebythecreek","Life by the Creek","656","65","22","False","False"
"829","Furby","Furby.jpg","3725","3743","2853","False","False"
"842","johndoe","James Smith","1298","77","497","False","False"
"752","gvcci","ʰ3ʰ","1371","14","3321","False","False"
"792","Roll_Gardner","Raul","760","16","26","False","False"
"854","Bill92879","Bill","119","1","2","False","False"
"888","alecsteinke","Alec Steinke","311","59","2","False","False"
"882","matth0dge","Ma Ho","198","8","6","False","False"
"897","io","I/O","601","37","89","False","False"
"693","hi","hi","1067","26","279","False","False"
"1032","Wanderin","Wanderin Poet","2589","386","1182","False","False"
"1055","Axiom","Wes","586","18","29","False","False"
"995","S3RG10","Sergio ","392","22","7","False","False"
"993","jen","J E N ","2650","825","14435","False","False"
"931","yellow_airman","Yellow Airman","680","31","211","False","False"
"3490","degarmot","Michael R. Vint","1490","744","90","False","False"
"5827","LouHolmes","Lou 🐸","16731","30784","318","False","True"
"5196","wocassity","W.O. Cassity","12923","13275","241947","True","True"
"1759","ShannonMontague","Shannon Montague","11346","10346","58173","True","True"
"3611","kramsolo","unfuckwithable","3753","3473","10406","False","False"
"1175","TH"," Tony H","3693","2420","23616","False","False"
"4639","InternMatt","Matthew","439","39","47","False","False"
"2897","Catspajamas","KatyG","2153","2278","1425","False","False"
"6224","Toe","Deplorable Toe","1429","984","603","False","False"
